TYPE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude,HOUR,MINUTE,YEAR,MONTH,DAY,Date,TIME_OF_DAY,Month_Name,Coordinates
Theft from Vehicle,12XX HOWE ST,Central Business District,490733.2,5458324.5,49.27761,-123.12740,11,17,1999,6,22,06/22/1999,Afternoon,June,"49.27760585, -123.1274043"
Theft of Bicycle,38XX KNIGHT ST,Kensington-Cedar Cottage,494478.4,5455337.7,49.25079,-123.07587,23,0,2005,9,2,09/02/2005,Night,September,"49.25078502, -123.0758724"
Theft from Vehicle,20XX COMOX ST,West End,489569.4,5459833.8,49.29116,-123.14344,17,0,2007,12,27,12/27/2007,Night,December,"49.29116382, -123.1434444"
Break and Enter Residential/Other,58XX SELKIRK ST,Oakridge,490284.6,5453356.7,49.23291,-123.13345,14,15,2011,1,20,01/20/2011,Afternoon,January,"49.23291319, -123.1334512"
Vehicle Collision or Pedestrian Struck (with Injury),MCKINNON ST / E 49TH AVE,Killarney,497172.0,5452435.0,49.22469,-123.03884,17,2,2011,8,31,08/31/2011,Night,August,"49.22469255, -123.0388392"
Vehicle Collision or Pedestrian Struck (with Injury),15XX BLOCK E 49TH AVE,Victoria-Fraserview,494622.0,5452475.0,49.22504,-123.07386,22,38,2001,8,16,08/16/2001,Evening,August,"49.22503527, -123.073861"
Other Theft,7XX BURRARD ST,Central Business District,491133.9,5459012.3,49.28380,-123.12191,12,30,2003,2,10,02/10/2003,Evening,February,"49.28379875, -123.1219115"
Theft from Vehicle,16XX COMOX ST,West End,490036.6,5459367.0,49.28697,-123.13701,18,30,2007,7,31,07/31/2007,Evening,July,"49.28697242, -123.1370084"
Theft from Vehicle,15XX W 8TH AVE,Fairview,489881.5,5456865.7,49.26447,-123.13908,2,0,1999,8,5,08/05/1999,Night,August,"49.26447073, -123.1390778"
Break and Enter Residential/Other,14XX E BROADWAY AVE,Grandview-Woodland,494525.9,5456630.6,49.26241,-123.07524,12,30,2002,3,31,03/31/2002,Evening,March,"49.26241481, -123.0752377"
Mischief,RICHARDS ST / W GEORGIA ST,Central Business District,491549.4,5458724.2,49.28121,-123.11619,19,50,2010,12,28,12/28/2010,Evening,December,"49.28121313, -123.1161914"
Theft from Vehicle,7XX W PENDER ST,Central Business District,491641.0,5459106.5,49.28465,-123.11494,11,30,1999,2,10,02/10/1999,Evening,February,"49.28465369, -123.1149398"
Break and Enter Residential/Other,6XX W 31ST AVE,South Cambie,491360.4,5454508.4,49.24329,-123.11870,13,15,2001,9,28,09/28/2001,Afternoon,September,"49.24328858, -123.1186997"
Other Theft,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.1,5453412.8,49.23348,-123.06555,21,42,2011,3,9,03/09/2011,Evening,March,"49.23347577, -123.0655486"
Theft of Bicycle,16XX SALT ST,Mount Pleasant,492286.5,5457518.4,49.27038,-123.10603,18,0,2010,6,5,06/05/2010,Night,June,"49.27037677, -123.1060338"
Mischief,14XX QUEBEC ST,Mount Pleasant,492586.3,5457734.7,49.27233,-123.10192,0,0,2005,6,19,06/19/2005,Night,June,"49.27232596, -123.1019171"
Vehicle Collision or Pedestrian Struck (with Injury),GRANVILLE ST / W 10TH AVE,Fairview,489920.0,5456661.0,49.26263,-123.13854,0,35,2009,12,1,12/01/2009,Evening,December,"49.26262988, -123.138543"
Theft from Vehicle,2XX E 4TH AVE,Mount Pleasant,492714.0,5457171.8,49.26726,-123.10015,18,0,2002,5,13,05/13/2002,Night,May,"49.2672641, -123.100151"
Break and Enter Commercial,16XX E 12TH AVE,Kensington-Cedar Cottage,494858.0,5456311.9,49.25955,-123.07067,19,30,2002,3,8,03/08/2002,Evening,March,"49.25955092, -123.070669"
Break and Enter Commercial,26XX KINGSWAY AVE,Renfrew-Collingwood,496267.5,5454000.6,49.23877,-123.05128,5,39,1999,1,13,01/13/1999,Evening,January,"49.23877022, -123.0512763"
Break and Enter Commercial,12XX W GEORGIA ST,Central Business District,490801.1,5459474.3,49.28795,-123.12650,6,0,2010,2,21,02/21/2010,Night,February,"49.28794995, -123.1264971"
Mischief,10XX RICHELIEU AVE,Shaughnessy,490697.4,5455912.8,49.25591,-123.12784,10,0,2001,6,5,06/05/2001,Night,June,"49.25591217, -123.1278408"
Theft from Vehicle,15XX MARINER WALK,Fairview,489857.6,5457470.2,49.26991,-123.13942,12,0,2002,3,7,03/07/2002,Night,March,"49.26990774, -123.1394208"
Theft from Vehicle,14XX ROBSON ST,West End,490542.8,5459472.1,49.28793,-123.13005,20,0,2004,9,2,09/02/2004,Night,September,"49.28792648, -123.1300502"
Theft of Vehicle,74XX GRANVILLE ST,Marpole,489795.0,5451692.4,49.21793,-123.14013,22,0,2000,10,25,10/25/2000,Night,October,"49.21793446, -123.1401344"
Break and Enter Residential/Other,25XX DUNDAS ST,Hastings-Sunrise,496144.6,5459110.7,49.28474,-123.05301,20,32,2009,8,24,08/24/2009,Evening,August,"49.28473593, -123.0530135"
Theft of Vehicle,45XX QUEBEC ST,Riley Park,492540.2,5454634.7,49.24444,-123.10249,22,0,2004,9,8,09/08/2004,Night,September,"49.24444055, -123.1024927"
Theft from Vehicle,22XX W BROADWAY AVE,Kitsilano,488648.7,5456797.1,49.26383,-123.15602,20,0,2008,5,11,05/11/2008,Night,May,"49.26383194, -123.1560199"
Break and Enter Commercial,31XX GRANVILLE ST,Fairview,489896.4,5456050.6,49.25714,-123.13885,18,0,2010,9,28,09/28/2010,Night,September,"49.25713847, -123.1388521"
Theft of Bicycle,ONTARIO ST / W 3RD AVE,Mount Pleasant,492384.2,5457287.5,49.26830,-123.10469,0,30,2010,10,4,10/04/2010,Evening,October,"49.26830119, -123.1046863"
Theft from Vehicle,14XX W 71ST AVE,Marpole,489921.5,5450485.1,49.20708,-123.13837,14,0,2008,3,21,03/21/2008,Night,March,"49.2070764, -123.1383674"
Vehicle Collision or Pedestrian Struck (with Injury),10XX BLOCK W 10TH AVE,Fairview,490756.0,5456639.0,49.26245,-123.12705,10,26,2009,3,6,03/06/2009,Evening,March,"49.26244519, -123.1270523"
Theft from Vehicle,4XX SEYMOUR ST,Central Business District,491758.4,5459079.6,49.28441,-123.11332,12,30,2009,8,5,08/05/2009,Evening,August,"49.28441304, -123.1133248"
Break and Enter Residential/Other,12XX RICHARDS ST,Central Business District,490914.9,5458091.7,49.27551,-123.12490,0,30,2000,6,9,06/09/2000,Evening,June,"49.27551459, -123.1249008"
Theft from Vehicle,86XX HUDSON ST,Marpole,490199.0,5450577.6,49.20791,-123.13456,13,0,2009,6,27,06/27/2009,Night,June,"49.20791242, -123.1345601"
Theft from Vehicle,9XX E 15TH AVE,Mount Pleasant,493851.5,5456021.0,49.25692,-123.08450,16,0,2003,7,21,07/21/2003,Night,July,"49.25692475, -123.0844978"
Theft of Vehicle,18XX YORK AVE,Kitsilano,489270.2,5457651.2,49.27153,-123.14750,19,0,2002,7,26,07/26/2002,Night,July,"49.27152611, -123.1475013"
Theft from Vehicle,12XX RICHARDS ST,Central Business District,490919.4,5458083.1,49.27544,-123.12484,18,30,2003,1,23,01/23/2003,Evening,January,"49.27543784, -123.1248394"
Theft of Bicycle,10XX BURRARD ST,West End,490729.8,5458622.3,49.28029,-123.12746,18,15,2005,8,10,08/10/2005,Afternoon,August,"49.28028527, -123.1274579"
Theft from Vehicle,29XX WALL ST,Hastings-Sunrise,496796.5,5459809.1,49.29102,-123.04406,15,0,2006,7,25,07/25/2006,Night,July,"49.2910221, -123.0440556"
Other Theft,18XX E HASTINGS ST,Grandview-Woodland,495217.3,5458715.3,49.28117,-123.06576,7,0,1999,1,21,01/21/1999,Night,January,"49.28117269, -123.0657604"
Break and Enter Residential/Other,19XX PARKER ST,Grandview-Woodland,495261.3,5458115.2,49.27578,-123.06515,12,0,1999,11,1,11/01/1999,Night,November,"49.2757753, -123.0651474"
Mischief,29XX E 22ND AVE,Renfrew-Collingwood,496861.7,5455322.5,49.25066,-123.04312,17,30,1999,1,21,01/21/1999,Evening,January,"49.25066489, -123.0431232"
Mischief,11XX STATION ST,Strathcona,492837.2,5458016.1,49.27486,-123.09847,19,33,2008,8,30,08/30/2008,Evening,August,"49.27486046, -123.0984725"
Theft of Vehicle,35XX SE MARINE DR,Killarney,497921.0,5450558.8,49.20782,-123.02854,16,0,2011,12,17,12/17/2011,Night,December,"49.20781843, -123.0285423"
Break and Enter Residential/Other,27XX E 2ND AVE,Hastings-Sunrise,496521.0,5457307.7,49.26852,-123.04782,21,0,2004,2,11,02/11/2004,Night,February,"49.2685206, -123.0478217"
Mischief,39XX VICTORIA DR,Kensington-Cedar Cottage,495271.2,5455238.6,49.24990,-123.06498,1,15,1999,9,13,09/13/1999,Afternoon,September,"49.2498996, -123.064977"
Theft from Vehicle,62XX YUKON ST,Oakridge,491658.9,5452882.9,49.22867,-123.11456,17,0,2009,11,1,11/01/2009,Night,November,"49.22867143, -123.1145643"
Break and Enter Residential/Other,4XX E 50TH AVE,Sunset,493069.0,5452423.5,49.22456,-123.09519,17,0,1999,1,2,01/02/1999,Night,January,"49.22455623, -123.0951883"
Break and Enter Residential/Other,58XX DUMFRIES ST,Victoria-Fraserview,494584.6,5453195.3,49.23151,-123.07438,17,0,2011,5,22,05/22/2011,Night,May,"49.23151431, -123.0743847"
Theft from Vehicle,19XX COMOX ST,West End,489672.2,5459717.8,49.29012,-123.14203,12,30,2002,2,22,02/22/2002,Evening,February,"49.29012213, -123.1420285"
Other Theft,64XX VICTORIA DR,Victoria-Fraserview,495211.5,5452622.3,49.22637,-123.06577,10,41,2011,11,24,11/24/2011,Evening,November,"49.22636526, -123.0657661"
Vehicle Collision or Pedestrian Struck (with Injury),W 49TH AVE / CAMBIE ST,Oakridge,491506.0,5452595.0,49.22608,-123.11666,21,52,2010,4,25,04/25/2010,Evening,April,"49.22607941, -123.1166584"
Theft from Vehicle,2XX PRIOR ST,Strathcona,492744.8,5458222.5,49.27672,-123.09975,14,0,2002,10,26,10/26/2002,Night,October,"49.27671561, -123.0997467"
Break and Enter Residential/Other,28XX W 31ST AVE,Arbutus Ridge,487709.6,5454612.5,49.24416,-123.16886,17,30,2002,4,2,04/02/2002,Evening,April,"49.2441631, -123.1688601"
Theft from Vehicle,13XX HARO ST,West End,490544.6,5459329.2,49.28664,-123.13002,23,0,2010,4,17,04/17/2010,Night,April,"49.2866403, -123.1300213"
Mischief,2XX GRANVILLE ST,Central Business District,491833.6,5459286.9,49.28628,-123.11230,21,0,2001,6,10,06/10/2001,Night,June,"49.28627866, -123.1122959"
Mischief,32XX WELLINGTON AVE,Renfrew-Collingwood,497287.6,5454474.6,49.24304,-123.03727,17,10,2004,6,10,06/10/2004,Day,June,"49.24304005, -123.0372657"
Theft of Vehicle,6XX W 57TH AVE,Marpole,491358.2,5451812.4,49.21904,-123.11867,22,0,1999,7,16,07/16/1999,Night,July,"49.21903793, -123.118672"
Theft from Vehicle,21XX E 13TH AVE,Kensington-Cedar Cottage,495533.5,5456210.6,49.25865,-123.06138,4,0,2007,7,20,07/20/2007,Night,July,"49.25864501, -123.0613839"
Theft from Vehicle,9XX W 10TH AVE,Fairview,490867.8,5456640.3,49.26246,-123.12552,21,0,2000,2,2,02/02/2000,Night,February,"49.26245865, -123.1255152"
Break and Enter Commercial,1XX E 41ST AVE,Sunset,492586.7,5453359.7,49.23297,-123.10183,8,55,2003,1,3,01/03/2003,Evening,January,"49.23297184, -123.1018301"
Theft from Vehicle,64XX FRASER ST,Sunset,493399.0,5452636.0,49.22647,-123.09066,12,45,2006,10,29,10/29/2006,Evening,October,"49.22647137, -123.0906598"
Other Theft,31XX ARBUTUS ST,Kitsilano,488863.8,5456119.4,49.25774,-123.15305,15,40,2002,9,11,09/11/2002,Evening,September,"49.25774004, -123.1530451"
Mischief,58XX TISDALL ST,Oakridge,491084.2,5453266.1,49.23211,-123.12247,0,0,1999,8,21,08/21/1999,Night,August,"49.23210976, -123.1224668"
Theft from Vehicle,5X W PENDER ST,Central Business District,492275.7,5458684.0,49.28086,-123.10620,22,15,1999,6,23,06/23/1999,Afternoon,June,"49.2808614, -123.1062043"
Theft from Vehicle,12XX ROBSON ST,West End,490758.3,5459257.1,49.28600,-123.12708,20,15,1999,8,4,08/04/1999,Afternoon,August,"49.28599537, -123.1270814"
Theft from Vehicle,26XX W 42ND AVE,Kerrisdale,487988.7,5453458.4,49.23379,-123.16499,19,30,2005,6,19,06/19/2005,Evening,June,"49.23378709, -123.164991"
Theft from Vehicle,11XX W 58TH AVE,Marpole,490436.0,5451719.6,49.21819,-123.13133,20,30,2001,5,19,05/19/2001,Evening,May,"49.2181892, -123.1313333"
Break and Enter Residential/Other,19XX E 51ST AVE,Victoria-Fraserview,495131.3,5452292.9,49.22340,-123.06686,13,53,2007,5,18,05/18/2007,Evening,May,"49.22340168, -123.0668644"
Theft from Vehicle,31XX COMMERCIAL DR,Kensington-Cedar Cottage,494921.8,5455971.7,49.25649,-123.06979,16,30,2000,3,26,03/26/2000,Evening,March,"49.25649146, -123.0697886"
Theft of Bicycle,9XX MAINLAND ST,Central Business District,491371.2,5458249.1,49.27694,-123.11863,21,10,2006,2,14,02/14/2006,Day,February,"49.27693749, -123.1186319"
Break and Enter Residential/Other,47XX INVERNESS ST,Kensington-Cedar Cottage,494157.8,5454376.8,49.24214,-123.08026,21,0,2006,6,20,06/20/2006,Night,June,"49.24213781, -123.0802641"
Theft of Bicycle,7XX E GEORGIA ST,Strathcona,493573.1,5458402.1,49.27834,-123.08836,10,45,2004,11,8,11/08/2004,Evening,November,"49.27834068, -123.0883612"
Theft from Vehicle,9XX SEYMOUR ST,Central Business District,491207.4,5458509.5,49.27928,-123.12089,10,0,2010,7,20,07/20/2010,Night,July,"49.27927749, -123.1208896"
Mischief,23XX WATERLOO ST,Kitsilano,486913.5,5456953.1,49.26520,-123.17988,18,0,2007,1,7,01/07/2007,Night,January,"49.26520033, -123.1798755"
Mischief,46XX VALLEY DR,Arbutus Ridge,488938.2,5454641.2,49.24444,-123.15198,19,0,1999,3,31,03/31/1999,Night,March,"49.24444443, -123.151981"
Theft from Vehicle,13XX E 41ST AV,Sunset,494191.6,5453326.2,49.23269,-123.07978,21,0,2000,3,19,03/19/2000,Night,March,"49.23268801, -123.0797843"
Theft from Vehicle,7XX RICHARDS ST,Central Business District,491546.5,5458714.8,49.28113,-123.11623,23,0,2010,3,1,03/01/2010,Night,March,"49.28112889, -123.1162308"
Theft of Vehicle,E 8TH AVE / WOODLAND DR,Grandview-Woodland,494642.9,5456727.7,49.26329,-123.07363,21,30,2011,10,8,10/08/2011,Evening,October,"49.26328946, -123.0736314"
Break and Enter Residential/Other,5XX W 45TH AVE,Oakridge,491425.9,5453011.3,49.22982,-123.11777,13,0,2008,10,26,10/26/2008,Night,October,"49.22982284, -123.1177681"
Theft from Vehicle,80XX ST GEORGE ST,Sunset,493136.4,5451031.6,49.21204,-123.09424,21,0,2002,5,2,05/02/2002,Night,May,"49.21203667, -123.0942393"
Break and Enter Commercial,27XX E 41ST AVE,Victoria-Fraserview,496371.1,5453327.8,49.23272,-123.04985,2,30,2001,8,15,08/15/2001,Evening,August,"49.2327192, -123.0498465"
Mischief,60XX FRASER ST,Sunset,493397.1,5452944.4,49.22925,-123.09069,0,35,2009,7,25,07/25/2009,Evening,July,"49.22924593, -123.0906919"
Theft of Vehicle,27XX E 1ST AVE,Hastings-Sunrise,496469.3,5457429.7,49.26962,-123.04853,22,0,1999,10,28,10/28/1999,Night,October,"49.26961745, -123.0485339"
Mischief,18XX E GEORGIA ST,Grandview-Woodland,495056.9,5458408.5,49.27841,-123.06796,21,23,2009,10,4,10/04/2009,Evening,October,"49.27841223, -123.067962"
Other Theft,7XX BUTE ST,West End,490797.7,5459282.3,49.28622,-123.12654,21,25,2008,6,29,06/29/2008,Evening,June,"49.28622283, -123.1265405"
Break and Enter Residential/Other,37XX W BROADWAY AVE,West Point Grey,486413.5,5456857.6,49.26433,-123.18674,13,48,2008,12,12,12/12/2008,Evening,December,"49.26433057, -123.1867444"
Theft from Vehicle,E GEORGIA ST / MAIN ST,Strathcona,492743.3,5458428.5,49.27857,-123.09977,12,20,2006,5,9,05/09/2006,Evening,May,"49.27856914, -123.0997714"
Theft from Vehicle,20XX W 47TH AVE,Kerrisdale,488730.2,5452917.1,49.22893,-123.15479,6,0,2011,7,17,07/17/2011,Night,July,"49.22893217, -123.1547911"
Other Theft,6XX W 41ST AVE,Oakridge,491253.3,5453429.9,49.23359,-123.12015,15,42,2010,1,24,01/24/2010,Evening,January,"49.23358553, -123.1201479"
Break and Enter Residential/Other,87XX MONTCALM ST,Marpole,490083.5,5450456.3,49.20682,-123.13614,20,51,2005,7,20,07/20/2005,Evening,July,"49.20682025, -123.1361428"
Theft of Bicycle,66XX MARGUERITE ST,Kerrisdale,489441.8,5452484.7,49.22505,-123.14501,19,0,2002,9,20,09/20/2002,Night,September,"49.22505495, -123.1450059"
Theft of Bicycle,CAMBIE ST / W HASTINGS ST,Central Business District,492028.3,5458872.7,49.28256,-123.10961,18,30,2011,10,8,10/08/2011,Evening,October,"49.2825557, -123.10961"
Mischief,5XX E 54TH AVE,Sunset,493158.5,5452013.2,49.22087,-123.09395,23,0,2006,5,20,05/20/2006,Night,May,"49.22086685, -123.0939523"
Theft from Vehicle,5XX BROUGHTON ST,Central Business District,490742.3,5459657.7,49.28960,-123.12731,21,0,1999,1,10,01/10/1999,Night,January,"49.28959877, -123.1273103"
Break and Enter Residential/Other,3X E 38TH AVE,Riley Park,492371.8,5453736.8,49.23636,-123.10479,11,20,2008,10,5,10/05/2008,Evening,October,"49.23636112, -123.1047893"
Mischief,9XX E 33RD AVE,Kensington-Cedar Cottage,493764.1,5454174.4,49.24031,-123.08567,22,0,1999,7,11,07/11/1999,Night,July,"49.2403132, -123.0856704"
Theft from Vehicle,17XX W 8TH AVE,Fairview,489453.5,5456878.6,49.26458,-123.14496,1,0,1999,12,17,12/17/1999,Night,December,"49.26457891, -123.1449606"
Mischief,38XX POINT GREY RD,West Point Grey,486355.1,5457733.6,49.27221,-123.18758,0,0,2001,7,23,07/23/2001,Night,July,"49.27220911, -123.187576"
Theft from Vehicle,9XX W CORDOVA ST,Central Business District,491637.5,5459386.6,49.28717,-123.11499,7,30,2002,7,10,07/10/2002,Evening,July,"49.28717282, -123.1149943"
Other Theft,6XX GRANVILLE ST,Central Business District,491445.9,5458896.4,49.28276,-123.11762,15,45,1999,5,3,05/03/1999,Evening,May,"49.28276102, -123.1176182"
Theft from Vehicle,16XX W GEORGIA ST,West End,490478.5,5459786.1,49.29075,-123.13094,17,0,2004,5,1,05/01/2004,Night,May,"49.29074969, -123.1309414"
Theft from Vehicle,39XX W 12TH AVE,West Point Grey,486099.8,5456566.6,49.26171,-123.19105,23,30,2003,4,10,04/10/2003,Evening,April,"49.26170539, -123.1910461"
Other Theft,3XX ABBOTT ST,Central Business District,492213.9,5458862.7,49.28247,-123.10706,15,51,2009,12,29,12/29/2009,Evening,December,"49.2824676, -123.1070582"
Vehicle Collision or Pedestrian Struck (with Injury),BURRARD ST / SMITHE ST,West End,490950.0,5458837.0,49.28222,-123.12444,20,57,2003,3,30,03/30/2003,Evening,March,"49.28221947, -123.1244356"
Theft from Vehicle,6XX RICHARDS ST,Central Business District,491619.4,5458788.6,49.28179,-123.11523,18,0,2004,6,8,06/08/2004,Night,June,"49.2817932, -123.1152306"
Break and Enter Residential/Other,64XX LARCH ST,Kerrisdale,488126.0,5452773.1,49.22763,-123.16308,16,30,2005,10,30,10/30/2005,Evening,October,"49.22762526, -123.1630847"
Theft of Vehicle,COMMERCIAL DR / E 4TH AVE,Grandview-Woodland,494929.3,5457125.9,49.26687,-123.06970,1,33,2010,12,16,12/16/2010,Evening,December,"49.26687406, -123.0696999"
Mischief,2XX E GEORGIA ST,Strathcona,492771.3,5458432.5,49.27860,-123.09939,1,4,2009,7,11,07/11/2009,Night,July,"49.27860491, -123.0993865"
Vehicle Collision or Pedestrian Struck (with Injury),E 41ST AVE / RUPERT ST,Killarney,496862.0,5453357.0,49.23298,-123.04310,7,21,2009,1,23,01/23/2009,Evening,January,"49.23298466, -123.0431039"
Break and Enter Residential/Other,29XX W 22ND AVE,Arbutus Ridge,487600.6,5455578.3,49.25285,-123.17039,17,0,2003,9,15,09/15/2003,Night,September,"49.25284845, -123.170388"
Theft from Vehicle,49XX JOYCE ST,Renfrew-Collingwood,497778.8,5454087.3,49.23956,-123.03052,18,30,2001,6,6,06/06/2001,Evening,June,"49.23955745, -123.030515"
Theft from Vehicle,52XX INVERNESS ST,Kensington-Cedar Cottage,494163.4,5453837.4,49.23729,-123.08018,20,30,2001,9,26,09/26/2001,Evening,September,"49.23728584, -123.0801793"
Break and Enter Residential/Other,17XX TRAFALGAR ST,Kitsilano,488031.0,5457545.5,49.27055,-123.16453,9,30,2003,3,29,03/29/2003,Evening,March,"49.27055178, -123.1645329"
Vehicle Collision or Pedestrian Struck (with Injury),COMOX ST / JERVIS ST,West End,490342.0,5459057.0,49.28419,-123.13280,3,39,2008,12,27,12/27/2008,Evening,December,"49.2841891, -123.1328008"
Break and Enter Residential/Other,7XX BURRARD ST,West End,491088.5,5458980.5,49.28351,-123.12254,0,30,2004,10,27,10/27/2004,Evening,October,"49.28351267, -123.122535"
Vehicle Collision or Pedestrian Struck (with Injury),40XX BLOCK OAK ST,South Cambie,490721.0,5455264.0,49.25008,-123.12750,13,37,2011,1,13,01/13/2011,Evening,January,"49.25007627, -123.1275015"
Break and Enter Commercial,56XX CAMBIE ST,South Cambie,491525.6,5453481.9,49.23406,-123.11641,14,5,2001,9,10,09/10/2001,Night,September,"49.23405729, -123.1164076"
Theft of Vehicle,20XX COMOX ST,West End,489602.5,5459800.0,49.29086,-123.14299,0,5,2001,4,5,04/05/2001,Night,April,"49.29086035, -123.1429886"
Theft from Vehicle,32XX E 8TH AVE,Hastings-Sunrise,497352.6,5456679.1,49.26287,-123.03639,18,0,2008,2,12,02/12/2008,Night,February,"49.2628702, -123.0363872"
Theft of Bicycle,55XX MAIN ST,Riley Park,492597.9,5453619.6,49.23531,-123.10168,18,0,2007,3,11,03/11/2007,Night,March,"49.23531038, -123.1016808"
Theft from Vehicle,32XX COLERIDGE AVE,Killarney,497212.0,5452600.6,49.22618,-123.03829,0,0,2002,12,1,12/01/2002,Night,December,"49.22618244, -123.0382912"
Theft of Vehicle,28XX SEMLIN DR,Kensington-Cedar Cottage,495345.1,5456303.7,49.25948,-123.06397,21,0,2002,11,18,11/18/2002,Night,November,"49.2594816, -123.0639748"
Theft from Vehicle,13XX GRAVELEY ST,Grandview-Woodland,494379.9,5457532.1,49.27052,-123.07726,14,39,2005,12,14,12/14/2005,Evening,December,"49.27052292, -123.0772569"
Theft from Vehicle,HAMILTON ST / W HASTINGS ST,Central Business District,492002.8,5458896.8,49.28277,-123.10996,21,0,2002,12,14,12/14/2002,Night,December,"49.28277215, -123.1099607"
Other Theft,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.8,5456155.9,49.25816,-123.03699,17,13,2011,4,7,04/07/2011,Afternoon,April,"49.25816372, -123.0369859"
Theft from Vehicle,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495423.6,5454596.5,49.24413,-123.06288,23,0,2008,9,12,09/12/2008,Night,September,"49.24412556, -123.0628765"
Theft from Vehicle,30XX E KENT N AVE,Killarney,496873.2,5450449.6,49.20683,-123.04293,18,0,2008,10,16,10/16/2008,Night,October,"49.20683223, -123.0429281"
Mischief,16XX FRANKLIN ST,Grandview-Woodland,494806.8,5458824.8,49.28215,-123.07141,18,0,1999,2,7,02/07/1999,Night,February,"49.28215485, -123.0714057"
Theft from Vehicle,11XX STATION ST,Strathcona,492834.9,5457930.3,49.27409,-123.09850,14,30,2011,7,10,07/10/2011,Evening,July,"49.2740882, -123.0985022"
Theft from Vehicle,5XX E 31ST AVE,Riley Park,493162.5,5454439.4,49.24269,-123.09394,3,4,2007,8,9,08/09/2007,Night,August,"49.24269078, -123.093939"
Theft of Vehicle,10XX E 61ST AVE,Sunset,493910.7,5451320.1,49.21464,-123.08361,17,30,2006,12,10,12/10/2006,Evening,December,"49.21463954, -123.0836123"
Theft from Vehicle,13XX ROBSON ST,West End,490594.3,5459433.8,49.28758,-123.12934,19,0,2004,1,22,01/22/2004,Night,January,"49.28758204, -123.1293407"
Theft from Vehicle,9XX W CORDOVA ST,Central Business District,491637.5,5459386.6,49.28717,-123.11499,17,45,2003,2,2,02/02/2003,Evening,February,"49.28717282, -123.1149943"
Break and Enter Commercial,5XX RAILWAY ST,Strathcona,493229.9,5459116.1,49.28476,-123.09309,0,0,2011,3,11,03/11/2011,Night,March,"49.28475926, -123.0930927"
Theft from Vehicle,22XX W BROADWAY AVE,Kitsilano,488658.4,5456806.0,49.26391,-123.15589,10,0,2000,2,21,02/21/2000,Night,February,"49.26391199, -123.1558876"
Theft from Vehicle,4X W 13TH AVE,Mount Pleasant,492292.4,5456299.1,49.25941,-123.10593,20,0,2010,6,8,06/08/2010,Night,June,"49.25940883, -123.1059295"
Mischief,12XX SEYMOUR ST,Central Business District,490891.6,5458192.4,49.27642,-123.12522,23,0,2002,11,10,11/10/2002,Night,November,"49.27642051, -123.1252241"
Mischief,9XX BURRARD ST,Central Business District,490952.1,5458832.4,49.28218,-123.12441,21,14,2007,9,10,09/10/2007,Afternoon,September,"49.28217849, -123.1244061"
Mischief,20XX FRANKLIN ST,Grandview-Woodland,495378.8,5458816.1,49.28208,-123.06354,3,51,2009,5,1,05/01/2009,Evening,May,"49.282081, -123.0635404"
Break and Enter Residential/Other,28XX E 7TH AVE,Hastings-Sunrise,496690.5,5456785.5,49.26382,-123.04549,21,0,2002,2,25,02/25/2002,Night,February,"49.26382407, -123.0454883"
Theft from Vehicle,15XX CLARK DR,Grandview-Woodland,494378.6,5457635.6,49.27145,-123.07728,10,45,2004,1,21,01/21/2004,Evening,January,"49.27145391, -123.0772764"
Other Theft,16XX JOHNSTON ST,Fairview,490131.4,5457743.8,49.27237,-123.13566,13,45,2008,2,17,02/17/2008,Evening,February,"49.27237321, -123.1356649"
Theft from Vehicle,18XX W 5TH AVE,Kitsilano,489288.3,5457163.5,49.26714,-123.14724,22,30,2011,10,6,10/06/2011,Evening,October,"49.26713921, -123.1472386"
Vehicle Collision or Pedestrian Struck (with Injury),THURLOW ST / BURNABY ST,West End,490381.0,5458553.0,49.27966,-123.13225,18,45,2000,8,19,08/19/2000,Evening,August,"49.27965616, -123.1322524"
Break and Enter Commercial,10XX BEACH AVE,Central Business District,490255.4,5458158.8,49.27611,-123.13397,22,20,2002,2,16,02/16/2002,Evening,February,"49.27610819, -123.1339697"
Theft from Vehicle,11XX MAINLAND ST,Central Business District,491144.4,5458003.1,49.27472,-123.12174,9,0,2004,3,7,03/07/2004,Night,March,"49.27472125, -123.1217449"
Break and Enter Residential/Other,13XX W 4TH AVE,Fairview,490188.0,5457099.5,49.26658,-123.13487,17,0,2002,12,15,12/15/2002,Night,December,"49.26657844, -123.134871"
Break and Enter Commercial,31XX MAIN ST,Mount Pleasant,492640.7,5456080.1,49.25744,-123.10114,15,30,2002,3,21,03/21/2002,Evening,March,"49.257443, -123.1011379"
Theft of Bicycle,21XX W 2ND AVE,Kitsilano,488851.0,5457467.8,49.26987,-123.15326,7,30,2005,2,19,02/19/2005,Evening,February,"49.26986872, -123.1532583"
Mischief,11XX HARO ST,West End,490786.5,5459074.9,49.28436,-123.12669,20,0,1999,4,1,04/01/1999,Night,April,"49.28435679, -123.1266896"
Theft from Vehicle,13XX BARCLAY ST,West End,490450.5,5459269.5,49.28610,-123.13131,19,30,2008,12,26,12/26/2008,Evening,December,"49.28610227, -123.1313137"
